STT,Day,Num1,Num2,Num3,Num4,Num5,Num6,NumS
99,T7-2742024,7,12,38,43,48,55,8
100,T5-2542024,13,19,27,38,41,54,46
101,T3-2342024,1,34,39,40,49,53,9
102,T7-2042024,2,6,35,43,45,47,14
103,T5-1842024,1,21,23,33,43,54,28
104,T3-1642024,3,5,32,40,46,50,37
105,T7-1342024,29,36,37,38,40,42,46
106,T5-1142024,3,6,15,25,33,43,55
107,T3-942024,4,12,27,44,46,51,22
108,T7-642024,9,13,20,30,39,54,23
109,T5-442024,3,8,12,25,47,48,15
110,T3-242024,1,12,18,20,51,52,37
111,T7-3032024,14,17,27,38,54,55,23
112,T5-2832024,1,7,18,26,38,49,21
113,T3-2632024,1,8,13,16,38,44,47
114,T7-2332024,3,10,13,30,40,52,4
115,T5-2132024,12,13,41,48,49,53,43
116,T3-1932024,6,25,39,45,46,55,26
117,T7-1632024,8,36,42,43,44,55,54
118,T5-1432024,21,25,26,29,41,51,39
119,T3-1232024,11,14,18,20,22,43,16
120,T7-932024,11,13,22,36,46,49,37
121,T5-732024,13,20,33,47,53,54,19
122,T3-532024,12,19,21,23,28,54,31
123,T7-232024,1,19,21,31,50,55,37
124,T5-2922024,4,11,20,38,52,53,33
125,T3-2722024,1,4,6,8,24,35,53
126,T7-2422024,1,3,22,27,38,40,26
127,T5-2222024,8,19,24,31,35,55,1
128,T3-2022024,34,46,50,51,52,55,5
129,T7-1722024,8,12,17,27,38,55,47
130,T5-1522024,3,7,8,18,21,26,19
131,T3-1322024,8,17,22,31,34,49,18
132,T5-822024,22,31,35,36,38,42,11
133,T3-622024,8,19,27,34,46,51,24
134,T7-322024,4,6,7,13,18,26,49
135,T5-122024,2,7,10,22,32,40,39
136,T3-3012024,3,10,13,40,49,52,9
137,T7-2712024,6,12,38,41,46,55,13
138,T5-2512024,13,17,35,38,42,48,7
139,T3-2312024,13,27,32,48,49,51,23
140,T7-2012024,6,25,29,34,49,54,38
141,T5-1812024,12,20,33,38,40,52,35
142,T3-1612024,9,14,18,20,27,43,42
143,T7-1312024,1,5,7,23,35,42,21
144,T5-1112024,2,23,32,44,51,52,28
145,T3-912024,16,32,45,50,52,53,54
146,T7-612024,15,17,21,24,34,46,11
147,T5-412024,7,34,37,43,52,54,28
148,T3-212024,2,5,18,31,37,45,20
149,T7-30122023,9,17,29,32,38,52,2
150,T5-28122023,20,28,30,40,45,52,32
151,T3-26122023,10,14,17,27,29,40,25
152,T7-23122023,22,32,39,46,48,49,43
153,T5-21122023,9,31,39,41,47,48,3
154,T3-19122023,11,14,15,24,34,53,18
155,T7-16122023,13,15,21,26,34,35,45
156,T5-14122023,1,12,23,43,48,52,30
157,T3-12122023,6,7,16,21,34,50,31
158,T7-9122023,6,9,26,27,34,47,41
159,T5-7122023,9,13,28,33,50,53,47
160,T3-5122023,2,4,19,32,35,39,49
161,T7-2122023,1,10,20,37,48,51,54
162,T5-30112023,9,13,21,28,50,54,51
163,T3-28112023,10,24,47,48,52,55,28
164,T7-25112023,7,9,10,17,25,53,49
165,T5-23112023,4,6,26,33,52,55,15
166,T3-21112023,3,7,16,37,39,51,9
167,T7-18112023,1,7,10,14,28,29,2
168,T5-16112023,3,5,10,18,44,49,28
169,T3-14112023,4,9,12,15,22,38,40
170,T7-11112023,2,3,4,19,41,42,23
171,T5-9112023,8,17,24,34,39,48,44
172,T3-7112023,12,18,20,28,35,52,25
173,T7-4112023,14,35,37,47,48,50,43
174,T5-2112023,9,15,17,21,26,36,13
175,T3-31102023,10,16,17,28,37,42,43
176,T7-28102023,11,14,25,44,46,47,10
177,T5-26102023,14,22,32,37,43,48,42
178,T3-24102023,12,20,26,33,40,44,24
179,T7-21102023,11,16,24,34,47,52,15
180,T5-19102023,1,23,29,37,51,55,54
181,T3-17102023,13,22,33,41,46,47,9
182,T7-14102023,8,23,30,34,38,47,10
183,T5-12102023,5,8,9,20,36,50,35
184,T3-10102023,6,23,26,37,44,46,33
185,T7-7102023,4,13,36,40,43,52,34
186,T5-5102023,1,21,33,46,47,53,9
187,T3-3102023,3,15,27,29,37,48,55
188,T7-3092023,3,13,19,30,38,44,51
189,T5-2892023,4,23,36,45,47,50,22
190,T3-2692023,14,20,24,27,41,44,23
191,T7-2392023,20,27,36,43,45,47,35
192,T5-2192023,16,26,33,34,41,43,53
193,T3-1992023,17,29,35,40,51,52,23
194,T7-1692023,25,27,42,51,54,55,45
195,T5-1492023,6,10,20,22,50,52,34
196,T3-1292023,26,31,32,39,45,55,28
197,T7-992023,13,20,32,37,43,49,40
198,T5-792023,1,4,36,42,45,54,32
199,T3-592023,2,6,19,29,34,48,39
200,T7-292023,12,15,32,44,46,51,48
201,T5-3182023,23,33,37,43,45,46,29
202,T3-2982023,1,8,20,25,35,53,54
203,T7-2682023,5,8,24,38,50,51,47
204,T5-2482023,1,10,20,41,42,50,39
205,T3-2282023,2,3,6,34,35,36,31
206,T7-1982023,7,9,13,22,27,42,23
207,T5-1782023,1,5,25,32,51,52,54
208,T3-1582023,5,12,25,39,40,53,52
209,T7-1282023,13,24,39,43,45,52,8
210,T5-1082023,4,14,31,42,47,49,43
211,T3-882023,5,6,19,20,40,45,47
212,T7-582023,22,34,40,47,49,51,44
213,T5-382023,3,12,22,25,37,39,7
214,T3-182023,4,18,22,25,33,48,2
215,T7-2972023,16,23,25,26,29,40,32
216,T5-2772023,3,11,13,31,33,45,27
217,T3-2572023,12,23,42,44,51,52,3
218,T7-2272023,9,15,23,25,27,34,41
219,T5-2072023,5,34,36,38,47,50,26
220,T3-1872023,10,11,19,28,42,47,16
221,T7-1572023,2,16,31,37,38,48,36
222,T5-1372023,3,4,30,34,36,49,8
223,T3-1172023,24,40,44,46,47,49,5
224,T7-872023,8,11,23,43,44,48,41
225,T5-672023,7,12,29,39,46,55,1
226,T3-472023,4,13,14,23,33,50,41
227,T7-172023,13,33,36,38,45,50,25
228,T5-2962023,1,11,12,28,46,54,40
229,T3-2762023,2,12,15,16,27,28,47
230,T7-2462023,8,9,16,20,50,53,3
231,T5-2262023,2,11,14,35,43,51,55
232,T3-2062023,7,23,26,31,35,53,32
233,T7-1762023,7,13,23,34,38,40,55
234,T5-1562023,10,11,25,39,46,55,40
235,T3-1362023,4,14,18,27,47,50,33
236,T7-1062023,10,17,27,32,35,41,54
237,T5-862023,3,36,38,43,51,53,2
238,T3-662023,1,14,23,27,44,50,43
239,T7-362023,23,28,29,36,38,41,7
240,T5-162023,3,18,40,41,46,47,36
241,T3-3052023,1,14,24,28,40,46,34
242,T7-2752023,4,6,8,18,39,43,28
243,T5-2552023,15,16,19,31,33,46,7
244,T3-2352023,26,27,35,36,47,54,40
245,T7-2052023,1,14,21,36,48,53,44
246,T5-1852023,13,14,21,23,30,41,49
247,T3-1652023,19,24,30,34,40,44,51
248,T7-1352023,22,24,35,43,45,54,50
249,T5-1152023,1,3,19,33,34,51,17
250,T3-952023,7,9,13,22,44,47,39
251,T7-652023,1,11,22,28,34,42,10
252,T5-452023,13,30,32,35,45,52,29
253,T3-252023,4,11,18,25,33,45,21
254,T7-2942023,2,9,12,24,41,53,35
255,T5-2742023,8,28,38,39,41,45,54
256,T3-2542023,6,10,19,23,25,28,45
257,T7-2242023,9,18,23,24,48,52,10
258,T5-2042023,7,11,32,35,42,51,46
259,T3-1842023,17,18,30,40,51,55,50
260,T7-1542023,1,34,35,36,42,43,5
261,T5-1342023,22,26,28,37,39,48,15
262,T3-1142023,10,14,16,18,37,49,54
263,T7-842023,17,33,36,46,50,52,40
264,T5-642023,7,10,12,33,52,54,16
265,T3-442023,13,28,41,42,47,51,9
266,T7-142023,12,34,39,44,49,55,14
267,T5-3032023,6,11,14,21,30,32,22
268,T3-2832023,6,21,24,41,50,53,13
269,T7-2532023,17,18,28,40,49,54,16
270,T5-2332023,4,7,22,33,40,49,39
271,T3-2132023,7,17,31,43,45,49,52
272,T7-1832023,18,24,32,33,51,53,36
273,T5-1632023,6,23,34,48,50,55,2
274,T3-1432023,14,15,18,20,27,35,31
275,T7-1132023,13,23,25,30,35,44,8
276,T5-932023,12,22,28,34,53,54,40
277,T3-732023,8,22,25,27,39,50,28
278,T7-432023,9,13,23,36,38,54,21
279,T5-232023,1,3,23,24,43,48,31
280,T3-2822023,2,13,14,30,43,55,22
281,T7-2522023,1,2,14,21,38,51,50
282,T5-2322023,12,16,29,31,39,48,40
283,T3-2122023,4,12,15,21,30,44,5
284,T7-1822023,11,23,26,29,43,50,5
285,T5-1622023,1,5,7,8,20,22,33
286,T3-1422023,1,9,33,37,43,45,23
287,T7-1122023,4,13,45,48,52,54,5
288,T5-922023,1,10,29,30,49,50,9
289,T3-722023,6,27,29,32,39,52,9
290,T7-422023,2,6,8,27,41,46,20
291,T5-222023,3,10,23,29,34,53,11
292,T3-3112023,10,11,31,32,38,52,5
293,T7-2812023,9,22,23,29,38,47,33
294,T5-2612023,8,15,18,20,33,41,14
295,T3-2412023,3,5,10,12,29,30,9
296,T5-1912023,3,21,32,33,38,52,30
297,T3-1712023,1,9,20,36,44,50,40
298,T7-1412023,5,17,24,30,43,53,26
299,T5-1212023,5,14,37,45,47,55,25
300,T3-1012023,5,12,14,19,46,51,36
301,T7-712023,3,4,9,15,33,54,16
302,T5-512023,5,12,34,37,47,49,28
303,T3-312023,9,13,24,43,47,48,18
304,T7-31122022,10,15,36,42,45,52,20
305,T5-29122022,6,8,33,37,38,51,48
306,T3-27122022,11,12,13,14,23,55,27
307,T7-24122022,5,19,22,23,30,44,52
308,T5-22122022,14,26,35,43,45,48,3
309,T3-20122022,2,6,9,20,31,35,42
310,T7-17122022,1,2,29,34,41,42,9
311,T5-15122022,2,25,38,50,51,55,21
312,T3-13122022,10,22,31,37,41,52,20
313,T7-10122022,2,12,13,18,33,44,31
314,T5-8122022,6,30,36,41,49,55,20
315,T3-6122022,1,11,25,44,45,46,35
316,T7-3122022,16,17,27,48,52,53,24
317,T5-1122022,11,14,29,31,52,54,7
318,T3-29112022,2,13,16,18,41,42,19
319,T7-26112022,8,23,24,48,49,52,1
320,T5-24112022,4,6,18,27,52,53,10
321,T3-22112022,3,9,21,22,26,35,15
322,T7-19112022,3,15,22,39,46,48,43
323,T5-17112022,1,19,25,27,38,42,54
324,T3-15112022,4,20,26,36,47,51,33
325,T7-12112022,8,18,23,30,35,42,43
326,T5-10112022,8,11,14,27,38,45,21
327,T3-8112022,12,27,33,44,48,50,18
328,T7-5112022,10,19,22,25,47,53,52
329,T5-3112022,8,13,24,28,29,33,49
330,T3-1112022,3,9,20,23,31,54,55
331,T7-29102022,1,3,10,13,15,20,32
332,T5-27102022,1,7,10,17,19,30,53
333,T3-25102022,8,18,20,22,42,46,1
334,T7-22102022,17,19,35,42,51,52,34
335,T5-20102022,15,21,27,34,37,53,29
336,T3-18102022,6,30,36,39,44,46,49
337,T7-15102022,8,15,16,39,45,51,23
338,T5-13102022,12,13,43,48,51,52,15
339,T3-11102022,11,26,34,40,46,52,1
340,T7-8102022,11,17,23,34,41,51,40
341,T5-6102022,6,8,19,20,47,53,7
342,T3-4102022,5,11,12,22,43,45,42
343,T7-1102022,14,15,16,22,23,29,20
344,T5-2992022,15,32,33,37,42,54,28
345,T3-2792022,11,13,23,27,37,43,34
346,T7-2492022,1,4,5,17,42,47,9
347,T5-2292022,12,14,19,29,44,47,26
348,T3-2092022,8,27,32,43,53,54,45
349,T7-1792022,5,8,19,34,40,49,39
350,T5-1592022,3,8,19,30,41,52,9
351,T3-1392022,9,10,21,40,41,48,54
352,T7-1092022,2,8,15,19,35,38,14
353,T5-892022,9,13,23,32,36,52,43
354,T3-692022,1,5,27,43,52,54,15
355,T7-392022,11,22,31,33,40,46,41
356,T5-192022,4,14,18,39,50,53,31
357,T3-3082022,2,13,19,29,30,32,16
358,T7-2782022,1,5,7,10,25,48,36
359,T5-2582022,19,30,35,40,49,53,42
360,T3-2382022,13,21,31,41,44,45,27
361,T7-2082022,6,16,29,32,42,51,43
362,T5-1882022,23,27,31,37,38,42,26
363,T3-1682022,17,18,28,47,50,53,11
364,T7-1382022,19,28,29,30,33,36,14
365,T5-1182022,1,12,21,34,48,55,50
366,T3-982022,9,10,36,41,51,55,52
367,T7-682022,6,21,27,41,51,53,43
368,T5-482022,8,9,20,41,48,54,2
369,T3-282022,2,5,28,40,47,48,31
370,T7-3072022,1,4,24,35,44,47,17
371,T5-2872022,5,6,17,28,29,39,34
372,T3-2672022,5,8,9,13,14,47,53
373,T7-2372022,27,28,29,39,40,54,13
374,T5-2172022,2,20,33,45,51,55,1
375,T3-1972022,8,9,33,34,35,52,36
376,T7-1672022,6,13,18,27,34,46,33
377,T5-1472022,11,25,29,37,39,52,45
378,T3-1272022,12,13,24,25,39,41,9
379,T7-972022,5,21,24,47,52,55,20
380,T5-772022,18,24,32,43,48,55,15
381,T3-572022,5,7,12,26,29,44,38
382,T7-272022,6,26,39,40,46,47,2
383,T5-3062022,5,11,15,19,29,31,35
384,T3-2862022,5,22,30,32,38,55,33
385,T7-2562022,14,17,31,35,37,40,28
386,T5-2362022,10,22,23,34,46,54,27
387,T3-2162022,9,13,19,21,34,51,35
388,T7-1862022,6,27,43,44,45,47,33
389,T5-1662022,9,13,21,40,51,54,4
390,T3-1462022,2,15,26,32,35,36,16
391,T7-1162022,10,18,23,25,45,47,38
392,T5-962022,30,31,35,43,48,50,22
393,T3-762022,16,17,21,28,39,50,19
394,T7-462022,3,17,27,30,34,49,25
395,T5-262022,7,11,28,30,33,50,49
396,T3-3152022,4,10,15,16,47,51,23
397,T7-2852022,33,36,38,42,43,46,3
398,T5-2652022,4,30,32,39,41,53,42
399,T3-2452022,18,31,32,46,50,52,28
400,T7-2152022,19,32,38,40,45,48,2
401,T5-1952022,3,6,31,40,47,54,8
402,T3-1752022,11,17,25,29,45,48,53
403,T7-1452022,2,28,30,43,44,55,22
404,T5-1252022,9,18,24,43,44,50,15
405,T3-1052022,12,18,41,43,47,51,10
406,T7-752022,15,32,33,36,43,46,31
407,T5-552022,27,29,33,39,47,53,55
408,T3-352022,1,22,38,48,49,53,42
409,T7-3042022,11,23,51,52,53,54,27
410,T5-2842022,8,24,25,32,37,44,3
411,T3-2642022,14,22,24,25,43,49,17
412,T7-2342022,3,27,36,41,49,55,18
413,T5-2142022,21,24,27,34,38,42,46
414,T3-1942022,2,7,13,28,29,34,39
415,T7-1642022,4,8,39,41,53,55,52
416,T5-1442022,1,5,9,34,37,45,52
417,T3-1242022,11,18,20,22,25,40,5
418,T7-942022,2,3,19,28,42,45,12
419,T5-742022,6,14,15,25,29,32,41
420,T3-542022,5,18,26,36,43,44,45
421,T7-242022,32,38,42,44,47,55,46
422,T5-3132022,5,24,34,39,42,49,16
423,T3-2932022,5,11,32,35,40,52,31
424,T7-2632022,1,6,16,30,34,55,29
425,T5-2432022,5,9,16,35,45,46,44
426,T3-2232022,1,14,18,28,47,49,22
427,T7-1932022,8,20,24,37,51,55,27
428,T5-1732022,1,6,12,21,37,49,53
429,T3-1532022,6,14,24,28,33,52,50
430,T7-1232022,12,16,18,26,30,45,36
431,T5-1032022,1,3,8,16,19,36,41
432,T3-832022,3,23,25,39,47,48,55
433,T7-532022,5,12,15,25,43,48,1
434,T5-332022,4,10,16,25,26,43,52
435,T3-132022,15,19,25,42,51,53,2
436,T7-2622022,5,8,30,36,49,51,18
437,T5-2422022,2,15,25,30,31,32,13
438,T3-2222022,9,16,19,23,25,39,4
439,T7-1922022,1,11,14,33,46,48,40
440,T5-1722022,5,24,40,42,46,54,3
441,T3-1522022,5,7,14,24,29,36,46
442,T7-1222022,4,8,12,42,44,51,41
443,T5-1022022,3,15,26,35,43,52,7
444,T3-822022,12,15,21,28,32,40,43
445,T7-522022,1,17,23,29,44,45,37
446,T5-322022,13,18,22,35,42,43,3
447,T7-2912022,6,10,17,23,25,38,21
448,T5-2712022,1,26,31,36,40,46,28
449,T3-2512022,2,16,17,20,31,51,50
450,T7-2212022,2,6,16,29,37,42,22
451,T5-2012022,8,21,32,34,41,46,48
452,T3-1812022,6,15,16,33,41,43,51
453,T7-1512022,20,26,41,46,47,48,18
454,T5-1312022,7,12,17,26,37,46,28
455,T3-1112022,12,25,26,28,33,46,22
456,T7-812022,6,17,37,41,48,50,13
457,T5-612022,4,8,14,21,30,49,38
458,T3-412022,11,17,22,28,39,49,43
459,T7-112022,4,25,28,32,33,55,3
460,T5-30122021,9,25,27,32,37,46,23
461,T3-28122021,3,8,9,40,44,48,2
462,T7-25122021,6,8,23,25,33,35,27
463,T5-23122021,8,22,29,43,45,54,23
464,T3-21122021,23,25,28,49,52,54,44
465,T7-18122021,4,6,19,26,38,41,16
466,T5-16122021,19,24,30,41,43,49,55
467,T3-14122021,10,16,19,24,39,50,29
468,T7-11122021,8,13,17,22,42,51,45
469,T5-9122021,3,14,33,40,41,50,17
470,T3-7122021,4,6,22,32,34,53,41
471,T7-4122021,7,9,31,32,36,49,37
472,T5-2122021,6,23,28,31,44,48,14
473,T3-30112021,12,21,23,28,33,46,38
474,T7-27112021,2,5,7,21,31,37,44
475,T5-25112021,16,18,24,29,33,41,43
476,T3-23112021,5,7,9,28,38,55,50
477,T7-20112021,6,10,29,30,31,51,35
478,T5-18112021,18,30,32,37,39,40,10
479,T3-16112021,8,19,27,34,46,51,2
480,T7-13112021,18,22,29,33,46,48,37
481,T5-11112021,3,35,37,41,45,49,31
482,T3-9112021,12,25,26,47,51,53,16
483,T7-6112021,23,31,41,48,49,51,3
484,T5-4112021,5,10,15,31,32,50,28
485,T3-2112021,37,38,42,46,47,55,23
486,T7-30102021,31,36,40,44,50,53,11
487,T5-28102021,2,4,6,13,31,35,16
488,T3-26102021,21,24,29,34,39,53,20
489,T7-23102021,5,11,19,26,28,33,9
490,T5-21102021,3,19,32,36,41,51,35
491,T3-19102021,3,9,25,29,46,50,18
492,T7-16102021,9,17,22,28,50,55,7
493,T5-14102021,9,21,24,30,41,44,40
494,T3-12102021,14,17,31,33,42,50,40
495,T7-9102021,1,22,25,38,39,54,19
496,T5-7102021,6,15,21,24,45,55,46
497,T3-5102021,11,16,17,19,38,43,24
498,T7-2102021,5,6,22,26,49,51,32
499,T5-3092021,18,23,26,32,46,49,54
500,T3-2892021,7,22,25,40,49,50,37
501,T7-2592021,7,20,27,43,48,51,37
502,T5-2392021,6,7,21,25,27,49,26
503,T3-2192021,15,24,25,40,42,50,49
504,T7-1892021,3,14,15,21,47,52,54
505,T5-1692021,10,16,40,43,45,46,22
506,T3-1492021,17,22,30,40,43,44,41
507,T7-1192021,8,17,20,36,39,44,30
508,T5-992021,6,8,10,23,39,44,43
509,T3-792021,19,30,35,43,47,55,12
510,T7-492021,11,12,32,42,43,51,31
511,T5-292021,1,8,12,26,28,45,43
512,T3-3182021,7,20,37,47,51,53,5
513,T7-2882021,10,16,26,27,34,48,51
514,T5-2682021,11,13,20,51,53,55,4
515,T3-2482021,2,4,7,18,30,35,20
516,T7-2182021,22,24,27,37,38,48,14
517,T5-1982021,5,9,12,20,43,51,13
518,T5-2272021,2,20,24,39,46,53,55
519,T3-2072021,2,8,11,13,17,26,53
520,T7-1772021,2,7,11,21,31,42,45
521,T5-1572021,3,4,12,16,30,50,20
522,T3-1372021,5,11,18,27,34,43,42
523,T7-1072021,7,8,17,37,47,48,27
524,T5-872021,3,32,34,42,44,54,35
525,T3-672021,17,20,22,24,30,54,51
526,T7-372021,4,25,30,38,50,55,53
527,T5-172021,4,15,28,30,49,52,55
528,T3-2962021,5,14,24,36,44,55,48
529,T7-2662021,6,16,17,20,49,52,27
530,T5-2462021,3,16,17,24,41,44,37
531,T3-2262021,3,9,32,33,41,43,40
532,T7-1962021,1,3,7,13,28,45,33
533,T5-1762021,18,23,38,41,44,55,40
534,T3-1562021,11,18,21,22,30,55,35
535,T7-1262021,4,16,17,20,27,44,30
536,T5-1062021,11,22,24,27,43,54,45
537,T3-862021,16,28,33,41,42,54,12
538,T7-562021,14,22,25,39,41,52,17
539,T5-362021,4,8,21,24,26,47,43
540,T3-162021,6,12,14,27,43,45,38
541,T7-2952021,2,11,31,37,43,55,14
542,T5-2752021,3,7,18,22,40,46,14
543,T3-2552021,6,10,33,35,36,43,8
544,T7-2252021,15,27,37,45,46,52,31
545,T5-2052021,7,10,12,19,42,54,24
546,T3-1852021,6,7,22,32,38,47,27
547,T7-1552021,1,5,6,13,23,27,46
548,T5-1352021,13,24,25,35,39,41,29
549,T3-1152021,1,14,41,44,46,53,48
550,T7-852021,14,23,26,37,42,51,40
551,T5-652021,15,19,24,31,44,53,32
552,T3-452021,7,24,45,48,49,53,14
553,T7-152021,3,7,14,22,41,42,10
554,T5-2942021,3,9,23,33,42,44,50
555,T3-2742021,3,9,22,26,32,37,41
556,T7-2442021,1,4,5,21,25,44,45
557,T5-2242021,5,11,17,25,39,48,22
558,T3-2042021,18,25,38,43,47,51,11
559,T7-1742021,4,15,16,29,42,46,36
560,T5-1542021,5,8,27,42,47,51,36
561,T3-1342021,25,33,39,45,49,55,36
562,T7-1042021,12,13,16,17,27,47,49
563,T5-842021,8,11,16,22,28,30,45
564,T3-642021,27,33,34,38,46,48,5
565,T7-342021,2,4,34,38,41,55,19
566,T5-142021,13,18,24,34,38,54,8
567,T3-3032021,2,11,17,19,47,51,22
568,T7-2732021,5,11,17,20,26,37,12
569,T5-2532021,19,20,24,29,36,39,22
570,T3-2332021,9,13,17,33,34,53,31
571,T7-2032021,16,18,20,25,35,36,17
572,T5-1832021,17,24,38,41,46,54,51
573,T3-1632021,3,31,45,46,49,54,40
574,T7-1332021,7,19,20,23,36,55,9
575,T5-1132021,4,5,12,25,43,44,27
576,T3-932021,15,18,29,35,47,54,20
577,T7-632021,18,24,34,39,46,55,4
578,T5-432021,2,9,21,23,33,41,45
579,T3-232021,23,29,45,46,49,51,1
580,T7-2722021,6,11,24,30,50,52,22
581,T5-2522021,9,19,32,40,45,51,1
582,T3-2322021,16,19,21,23,30,48,6
583,T7-2022021,1,2,4,32,34,39,20
584,T5-1822021,2,5,10,22,26,47,53
585,T3-1622021,4,10,11,21,23,44,50
586,T7-1322021,3,11,14,31,34,42,24
587,T3-922021,15,20,21,29,31,41,34
588,T7-622021,6,22,32,33,35,53,12
589,T5-422021,28,43,44,50,51,53,13
590,T3-222021,4,13,31,36,40,54,30
591,T7-3012021,2,7,17,18,21,29,19
592,T5-2812021,3,4,16,34,40,55,2
593,T3-2612021,7,16,32,42,44,47,35
594,T7-2312021,12,31,39,41,45,55,34
595,T5-2112021,9,20,22,31,47,52,18
596,T3-1912021,5,22,25,43,48,53,18
597,T7-1612021,13,15,28,29,32,44,49
598,T5-1412021,1,4,42,44,46,50,9
599,T3-1212021,19,23,29,34,44,53,35
600,T7-912021,10,19,24,29,46,48,5
601,T5-712021,7,11,22,38,48,51,53
602,T3-512021,5,7,9,22,42,54,47
603,T7-212021,7,19,23,26,35,45,11
604,T5-31122020,2,15,25,27,37,51,53
605,T3-29122020,4,8,11,15,17,41,23
606,T7-26122020,1,24,33,41,43,51,48
607,T5-24122020,11,19,34,41,44,48,43
608,T3-22122020,10,11,16,29,35,38,3
609,T7-19122020,14,20,32,34,37,49,31
610,T5-17122020,15,25,27,35,40,48,45
